País,ISO,Región,Entrada_2000,Salida_2000,Entrada_2001,Salida_2001,Entrada_2002,Salida_2002,Entrada_2003,Salida_2003,Entrada_2004,Salida_2004,Entrada_2005,Salida_2005,Entrada_2006,Salida_2006,Entrada_2007,Salida_2007,Entrada_2008,Salida_2008,Entrada_2009,Salida_2009,Entrada_2010,Salida_2010,Entrada_2011,Salida_2011,Entrada_2012,Salida_2012,Entrada_2013,Salida_2013,Entrada_2014,Salida_2014,Entrada_2015,Salida_2015,Entrada_2016,Salida_2016,Entrada_2017,Salida_2017,Entrada_2018,Salida_2018,Entrada_2019,Salida_2019,Entrada_2020,Salida_2020,Entrada_2021,Salida_2021,Entrada_2022,Salida_2022,Prom_Entrada_2000_2022,Prom_Salida_2000_2022,Clasificación
Indonesia,IDN,Asia Sur-Este/Pacífico,-4550.36,,-2977.39,,145.09,,-596.92,,1896.08,3408.0,8336.26,3065.0,4914.2,2725.75,6928.48,4675.15,9318.45,5899.73,4877.37,2249.12,15292.01,4185.68,20564.94,9036.54,21200.78,7484.55,23281.74,11111.69,25120.73,10387.53,19779.13,9074.65,4541.71,-11594.2,20510.31,2008.27,18909.83,6399.22,24993.55,4462.48,19175.08,5032.6,21213.08,3926.73,24702.03,6634.82,12503.31,4745.96,Importador neto
Iraq,IRQ,Medio Oriente/Norte África,-0.03,,-6.66,,-0.33,,1000.0,,300.0,,515.3,88.7,383.0,305.0,971.8,7.9,1855.7,33.6,1598.3,71.9,1396.2,124.9,2082.0,366.0,3400.0,490.0,-2335.3,227.1,-10176.4,241.5,-7574.2,147.7,-6255.9,304.3,-5032.4,77.8,-4885.1,188.4,-3075.6,194.2,-2859.1,147.2,-2637.3,134.6,-2088.2,238.3,-1453.23,188.28,Exportador neto
Italy,ITA,Europa Occidental,13172.98,6492.04,14878.09,16369.48,17239.36,11504.64,19572.89,2144.41,20100.74,14313.05,36762.07,52296.83,56995.49,58960.99,65975.54,119993.33,-9501.58,67703.68,16607.2,18369.18,9930.5,30727.88,34465.48,51872.69,34.9,6796.75,19531.41,20275.67,17032.74,20476.26,13303.44,15424.32,25656.66,13659.64,8737.02,11814.16,44249.72,38655.97,35760.55,37444.37,-17050.4,4738.23,26253.86,58049.43,61897.76,47257.36,23113.32,31536.54,Exportador neto
Jordan,JOR,Medio Oriente/Norte África,913.26,8.6,273.63,31.59,238.22,13.82,546.97,-3.67,936.81,18.19,1984.49,163.19,3544.01,-138.08,2622.14,48.1,2826.74,12.82,2413.1,72.39,1688.39,28.45,1486.06,30.85,1548.45,5.41,1946.6,15.67,2178.45,83.38,1600.28,0.99,1552.96,3.24,2029.72,6.62,954.93,-7.61,729.72,43.38,760.28,26.34,621.83,15.92,962.54,121.97,1493.89,26.15,Importador neto
Kazakhstan,KAZ,Este Europa/Asia Central,1370.52,92.36,2816.82,-43.79,2588.49,424.66,2483.25,269.89,5615.26,179.11,2546.07,426.99,7611.17,921.77,11972.84,3942.32,16818.89,3704.15,14275.89,4192.59,7456.12,3790.88,13760.29,5177.65,13648.13,1792.28,10011.29,1976.91,7308.11,2633.54,6577.82,3316.38,17223.79,3474.58,4757.4,956.5,353.29,-4639.28,3730.86,-2173.57,7205.99,1330.55,4566.62,2665.17,5081.68,-2852.93,7381.76,1372.12,Importador neto
Kenya,KEN,África Subsahariana,110.9,0.01,5.3,0.01,27.62,7.42,81.74,2.08,46.06,4.42,21.21,9.69,50.67,23.96,729.04,36.03,95.59,43.77,116.26,45.99,178.06,1.58,1450.47,85.99,1380.17,238.37,1118.83,198.61,820.94,75.12,619.72,241.99,469.53,116.9,1346.09,109.91,767.76,-3.22,469.94,37.23,-5.4,381.75,419.72,803.33,791.58,541.18,483.12,130.53,Importador neto
"Korea, Republic of",KOR,Asia Sur-Este/Pacífico,11509.4,4842.1,6522.3,2743.5,5475.1,3437.2,7010.0,5018.8,13294.4,7195.6,13643.2,8330.0,9161.9,12563.1,8826.9,21831.0,11187.5,19536.5,9021.9,17400.5,9497.4,28221.6,9773.0,29647.7,9495.9,30598.7,12766.6,28317.8,9273.6,27998.5,4104.1,23687.1,12104.3,29889.5,17912.9,34069.4,12182.6,38220.4,9634.3,35239.0,8764.9,34832.4,22060.4,66000.6,25044.7,65799.0,11229.01,25018.26,Exportador neto
Kuwait,KWT,Medio Oriente/Norte África,16.3,-303.18,-111.52,-1913.71,3.62,-76.67,-67.11,-4959.88,23.75,2581.27,233.9,5141.78,121.31,8210.53,111.54,9784.18,-5.95,9090.56,1113.59,8581.82,1304.63,5889.84,3259.07,10772.93,2872.59,6741.31,1433.63,16648.0,485.81,13107.91,284.65,5439.62,292.03,6402.63,113.01,7038.17,-21.38,2971.77,515.62,4679.18,-558.06,3153.92,-272.34,-2240.96,752.26,24548.54,517.43,6143.02,Exportador neto
Kyrgyzstan,KGZ,Este Europa/Asia Central,-2.36,4.5,5.01,6.1,4.66,,45.54,,175.46,43.93,42.57,,182.02,,207.92,-1.02,376.99,-0.13,189.38,-0.27,472.77,17.62,685.76,-3.82,260.93,-16.13,612.02,-7.05,343.01,112.58,1144.05,134.96,619.22,40.25,-107.21,-29.07,144.22,4.95,403.87,67.21,-401.52,180.89,226.21,-334.52,54.85,-454.61,247.19,-12.3,Importador neto
Lao People's Democratic Republic,LAO,Asia Sur-Este/Pacífico,33.89,9.91,23.9,0.32,4.45,0.2,19.48,-0.03,16.92,1.11,27.72,-0.09,187.31,0.0,323.52,21.47,227.77,-16.93,318.6,2.51,278.81,33.45,300.74,0.36,617.76,-16.86,681.4,-28.57,867.65,7.06,1077.76,39.7,935.3,15.18,1686.29,9.7,1358.02,0.0,755.52,0.0,967.71,,1071.91,,726.27,0.01,543.86,3.74,Importador neto
